id,nr_isos,tool,recall
8_13,8,isONform,1.0
15_2,15,isONform,1.0
15_8, 15, RATTLE, 0.4666666666666667
3_15,3,isONform,1.0
9_20,9,isONform,0.8888888888888888
12_15,12,isONform,1.0
11_13,11,isONform,1.0
5_15,5,isONform,1.0
13_16,13,isONform,1.0
2_14,2,isONform,1.0
10_2,10,isONform,1.0
3_1,3,isONform,1.0
8_4, 8, RATTLE, 0.5
6_9,6,isONform,1.0
9_7,9,isONform,1.0
12_17, 12, RATTLE, 0.5
12_19,12,isONform,1.0
6_17,6,isONform,1.0
15_4,15,isONform,1.0
7_3,7,isONform,1.0
2_7, 2, RATTLE, 0.5
15_14,15,isONform,0.9333333333333333
14_10,14,isONform,1.0
7_8, 7, RATTLE, 0.7142857142857143
13_13,13,isONform,1.0
6_20, 6, RATTLE, 0.8333333333333334
7_19,7,isONform,1.0
10_9,10,isONform,1.0
5_2,5,isONform,1.0
11_18, 11, RATTLE, 0.7272727272727273
4_14, 4, RATTLE, 1.0
14_2,14,isONform,1.0
4_17,4,isONform,1.0
14_15,14,isONform,1.0
6_15,6,isONform,1.0
10_15, 10, RATTLE, 0.8
3_3,3,isONform,1.0
4_18,4,isONform,1.0
7_18,7,isONform,1.0
9_17,9,isONform,1.0
4_15, 4, RATTLE, 1.0
5_12,5,isONform,1.0
6_14, 6, RATTLE, 0.6666666666666666
12_20, 12, RATTLE, 0.5833333333333334
12_7,12,isONform,1.0
6_8, 6, RATTLE, 0.6666666666666666
14_11, 14, RATTLE, 0.5
2_13, 2, RATTLE, 1.0
4_10,4,isONform,1.0
4_19,4,isONform,1.0
2_1,2,isONform,1.0
6_11,6,isONform,1.0
5_14, 5, RATTLE, 1.0
5_20, 5, RATTLE, 1.0
14_8,14,isONform,1.0
3_4,3,isONform,1.0
4_19, 4, RATTLE, 1.0
12_10, 12, RATTLE, 0.5
4_11, 4, RATTLE, 1.0
14_20,14,isONform,1.0
2_8, 2, RATTLE, 1.0
3_9, 3, RATTLE, 0.6666666666666666
15_8,15,isONform,1.0
5_16,5,isONform,1.0
12_2, 12, RATTLE, 0.75
14_16, 14, RATTLE, 0.42857142857142855
3_19, 3, RATTLE, 1.0
14_4,14,isONform,1.0
15_9, 15, RATTLE, 0.5333333333333333
5_16, 5, RATTLE, 1.0
8_14,8,isONform,1.0
3_5, 3, RATTLE, 1.0
6_6,6,isONform,1.0
2_15,2,isONform,1.0
9_13, 9, RATTLE, 0.3333333333333333
7_5, 7, RATTLE, 0.7142857142857143
15_5,15,isONform,1.0
4_18, 4, RATTLE, 0.75
3_19,3,isONform,1.0
5_3, 5, RATTLE, 1.0
14_8, 14, RATTLE, 0.7142857142857143
4_2,4,isONform,1.0
6_6, 6, RATTLE, 1.0
7_7, 7, RATTLE, 1.0
6_18, 6, RATTLE, 0.8333333333333334
11_13, 11, RATTLE, 0.5454545454545454
13_17,13,isONform,1.0
15_6,15,isONform,1.0
3_10,3,isONform,1.0
13_6,13,isONform,1.0
6_12,6,isONform,1.0
15_7, 15, RATTLE, 0.5333333333333333
14_6, 14, RATTLE, 0.2857142857142857
9_6, 9, RATTLE, 0.7777777777777778
11_9,11,isONform,1.0
3_5,3,isONform,1.0
8_6,8,isONform,1.0
2_6,2,isONform,1.0
10_13,10,isONform,1.0
9_9,9,isONform,1.0
15_19, 15, RATTLE, 0.6
11_10, 11, RATTLE, 0.8181818181818182
15_12, 15, RATTLE, 0.8
3_11, 3, RATTLE, 0.6666666666666666
13_14, 13, RATTLE, 0.5384615384615384
6_1, 6, RATTLE, 0.8333333333333334
12_11, 12, RATTLE, 0.4166666666666667
12_16, 12, RATTLE, 0.75
3_7,3,isONform,1.0
15_15, 15, RATTLE, 0.6666666666666666
10_7,10,isONform,1.0
15_11,15,isONform,1.0
10_11,10,isONform,1.0
6_7, 6, RATTLE, 0.6666666666666666
13_4, 13, RATTLE, 0.6153846153846154
2_15, 2, RATTLE, 0.5
7_11,7,isONform,1.0
8_16, 8, RATTLE, 0.5
6_13, 6, RATTLE, 0.5
12_18,12,isONform,1.0
4_1, 4, RATTLE, 0.75
11_3,11,isONform,1.0
15_20, 15, RATTLE, 0.6666666666666666
2_11, 2, RATTLE, 1.0
8_12,8,isONform,1.0
2_3,2,isONform,1.0
3_14,3,isONform,1.0
9_1, 9, RATTLE, 0.8888888888888888
8_15,8,isONform,1.0
2_9,2,isONform,1.0
13_7, 13, RATTLE, 0.6153846153846154
15_2, 15, RATTLE, 0.6
7_4, 7, RATTLE, 0.8571428571428571
4_13,4,isONform,1.0
9_4,9,isONform,1.0
10_11, 10, RATTLE, 0.7
14_4, 14, RATTLE, 0.6428571428571429
3_14, 3, RATTLE, 1.0
7_18, 7, RATTLE, 1.0
5_7, 5, RATTLE, 0.8
9_1,9,isONform,1.0
