id,nr_isos,tool,precision
8_13,8,isONform,0.8888888888888888
15_2,15,isONform,0.8333333333333334
15_8, 15, RATTLE, 1.0
3_15,3,isONform,1.0
9_20,9,isONform,0.8
12_15,12,isONform,0.9230769230769231
11_13,11,isONform,0.8461538461538461
5_15,5,isONform,1.0
13_16,13,isONform,0.7222222222222222
2_14,2,isONform,1.0
10_2,10,isONform,1.0
3_1,3,isONform,0.75
8_4, 8, RATTLE, 0.8
6_9,6,isONform,1.0
9_7,9,isONform,0.6
12_17, 12, RATTLE, 1.0
12_19,12,isONform,0.9230769230769231
6_17,6,isONform,1.0
15_4,15,isONform,1.0
7_3,7,isONform,0.7
2_7, 2, RATTLE, 1.0
15_14,15,isONform,0.6666666666666666
14_10,14,isONform,1.0
7_8, 7, RATTLE, 1.0
13_13,13,isONform,0.8666666666666667
6_20, 6, RATTLE, 1.0
7_19,7,isONform,0.875
10_9,10,isONform,1.0
5_2,5,isONform,1.0
11_18, 11, RATTLE, 1.0
4_14, 4, RATTLE, 1.0
14_2,14,isONform,0.7
4_17,4,isONform,0.8
14_15,14,isONform,0.9333333333333333
6_15,6,isONform,1.0
10_15, 10, RATTLE, 1.0
3_3,3,isONform,1.0
4_18,4,isONform,0.6666666666666666
7_18,7,isONform,0.875
9_17,9,isONform,1.0
4_15, 4, RATTLE, 1.0
5_12,5,isONform,0.8333333333333334
6_14, 6, RATTLE, 1.0
12_20, 12, RATTLE, 1.0
12_7,12,isONform,0.8
6_8, 6, RATTLE, 1.0
14_11, 14, RATTLE, 1.0
2_13, 2, RATTLE, 1.0
4_10,4,isONform,0.6666666666666666
4_19,4,isONform,0.5714285714285714
2_1,2,isONform,1.0
6_11,6,isONform,1.0
5_14, 5, RATTLE, 1.0
5_20, 5, RATTLE, 1.0
14_8,14,isONform,1.0
3_4,3,isONform,1.0
4_19, 4, RATTLE, 1.0
12_10, 12, RATTLE, 1.0
4_11, 4, RATTLE, 1.0
14_20,14,isONform,0.875
2_8, 2, RATTLE, 1.0
3_9, 3, RATTLE, 1.0
15_8,15,isONform,0.6818181818181818
5_16,5,isONform,0.8333333333333334
12_2, 12, RATTLE, 1.0
14_16, 14, RATTLE, 0.8571428571428571
3_19, 3, RATTLE, 1.0
14_4,14,isONform,1.0
15_9, 15, RATTLE, 1.0
5_16, 5, RATTLE, 1.0
8_14,8,isONform,0.6666666666666666
3_5, 3, RATTLE, 1.0
6_6,6,isONform,1.0
2_15,2,isONform,1.0
9_13, 9, RATTLE, 1.0
7_5, 7, RATTLE, 1.0
15_5,15,isONform,0.75
4_18, 4, RATTLE, 1.0
3_19,3,isONform,1.0
