id,nr_isos,tool,total_errors
8_13,8,isONform,18
15_2,15,isONform,63
15_8, 15, RATTLE, 90
3_15,3,isONform,1
9_20,9,isONform,27
12_15,12,isONform,20
11_13,11,isONform,14
5_15,5,isONform,5
13_16,13,isONform,56
2_14,2,isONform,2
10_2,10,isONform,13
3_1,3,isONform,9
8_4, 8, RATTLE, 216
6_9,6,isONform,6
9_7,9,isONform,14
12_17, 12, RATTLE, 69
12_19,12,isONform,32
6_17,6,isONform,7
15_4,15,isONform,20
7_3,7,isONform,18
2_7, 2, RATTLE, 5
15_14,15,isONform,60
14_10,14,isONform,16
7_8, 7, RATTLE, 62
13_13,13,isONform,47
6_20, 6, RATTLE, 13
7_19,7,isONform,4
10_9,10,isONform,11
5_2,5,isONform,5
11_18, 11, RATTLE, 60
4_14, 4, RATTLE, 6
14_2,14,isONform,23
4_17,4,isONform,15
14_15,14,isONform,31
6_15,6,isONform,20
10_15, 10, RATTLE, 122
3_3,3,isONform,4
4_18,4,isONform,5
7_18,7,isONform,12
9_17,9,isONform,11
4_15, 4, RATTLE, 13
5_12,5,isONform,8
6_14, 6, RATTLE, 4
12_20, 12, RATTLE, 74
12_7,12,isONform,39
6_8, 6, RATTLE, 100
14_11, 14, RATTLE, 233
2_13, 2, RATTLE, 0
4_10,4,isONform,29
4_19,4,isONform,37
2_1,2,isONform,7
6_11,6,isONform,8
5_14, 5, RATTLE, 11
5_20, 5, RATTLE, 7
14_8,14,isONform,13
3_4,3,isONform,2
4_19, 4, RATTLE, 4
12_10, 12, RATTLE, 170
4_11, 4, RATTLE, 15
14_20,14,isONform,36
2_8, 2, RATTLE, 3
3_9, 3, RATTLE, 5
15_8,15,isONform,37
5_16,5,isONform,10
12_2, 12, RATTLE, 124
14_16, 14, RATTLE, 248
3_19, 3, RATTLE, 8
14_4,14,isONform,12
15_9, 15, RATTLE, 142
5_16, 5, RATTLE, 8
8_14,8,isONform,14
3_5, 3, RATTLE, 11
